system:index,WARD_NAME,WARD_NO,date,mean
3_00000000000000000093,Vidyaranyapura,9,01-10-2008,153.7643076
3_00000000000000000094,Ullalu,130,01-10-2008,149.1096503
3_00000000000000000095,Kengeri,159,01-10-2008,142.9342743
3_00000000000000000096,Dodda Bidarakallu,40,01-10-2008,148.6115601
3_00000000000000000097,Herohalli,72,01-10-2008,150.4194644
3_00000000000000000098,Jalahalli,16,01-10-2008,154.3154416
3_00000000000000000099,Rajarajeshwari Nagar,160,01-10-2008,145.3183537
3_0000000000000000009a,J P Park,17,01-10-2008,145.2257233
3_0000000000000000009c,HMT Ward,38,01-10-2008,142.8855218
3_0000000000000000009e,Laggere,69,01-10-2008,133.0596609
3_0000000000000000009f,Kottegepalya,73,01-10-2008,135.277493
3_000000000000000000a0,Shettihalli,12,01-10-2008,150.2262027
3_000000000000000000a1,Mallasandra,13,01-10-2008,145.6877704
3_000000000000000000a2,Bagalakunte,14,01-10-2008,142.9909895
3_000000000000000000a3,T Dasarahalli,15,01-10-2008,133.625
3_000000000000000000a4,Chokkasandra,39,01-10-2008,143.1171151
3_000000000000000000a5,Peenya Industrial Area,41,01-10-2008,155.4447223
3_000000000000000000a6,Rajagopal Nagar,70,01-10-2008,134.2341979
3_000000000000000000a7,Hegganahalli,71,01-10-2008,129.9572136
3_000000000000000000a8,Vrisabhavathi Nagar,102,01-10-2008,135.75
3_000000000000000000af,Aramane Nagara,35,01-10-2008,165.8907893
3_000000000000000000b2,Rajamahal Guttahalli,64,01-10-2008,143.0305347
3_000000000000000000b6,Radhakrishna Temple Ward,18,01-10-2008,148.3194688
3_000000000000000000b7,Sanjaya Nagar,19,01-10-2008,154.7031812
3_000000000000000000b8,Ganga Nagar,20,01-10-2008,152.8
4_00000000000000000000,HBR Layout,24,01-01-2009,72.70143721
4_00000000000000000006,Maruthi Seva Nagar,59,01-01-2009,57.49099939
4_00000000000000000007,Konena Agrahara,113,01-01-2009,62.54181029
4_00000000000000000008,Benniganahalli,50,01-01-2009,61.65563677
4_00000000000000000009,C V Raman Nagar,57,01-01-2009,66.10030884
4_0000000000000000000a,New Tippasandara,58,01-01-2009,62.32601138
4_0000000000000000000b,Sarvagna Nagar,79,01-01-2009,63.56263947
4_0000000000000000000c,Hoysala Nagar,80,01-01-2009,73.66322927
4_0000000000000000000d,Jeevanbhima Nagar,88,01-01-2009,53.39682126
4_00000000000000000016,Domlur,112,01-01-2009,48.48434846
4_00000000000000000017,Agaram,114,01-01-2009,91.95080546
4_00000000000000000018,Vannarpet,115,01-01-2009,62.51903575
4_0000000000000000002a,Kaveripura,103,01-01-2009,48.51478052
4_00000000000000000030,Mudalapalya,127,01-01-2009,40.3401798
4_00000000000000000031,Nagarabhavi,128,01-01-2009,62.00349327
4_00000000000000000032,Nayandahalli,131,01-01-2009,52.78286828
4_0000000000000000003a,Deepanjali Nagar,158,01-01-2009,45.33333333
4_0000000000000000004f,Hosakerehalli,161,01-01-2009,44.41666667
4_00000000000000000058,Ejipura,148,01-01-2009,52.81631556
4_00000000000000000059,Koramangala,151,01-01-2009,56.1486808
4_0000000000000000005b,Sarakki,178,01-01-2009,48.22146598
4_0000000000000000005c,Jakkasandra,173,01-01-2009,45.44316953
4_0000000000000000005d,BTM Layout,176,01-01-2009,47.68901898
4_00000000000000000061,Varthuru,149,01-01-2009,86.90848777
4_00000000000000000062,Bellanduru,150,01-01-2009,64.67728704
4_00000000000000000063,Garudachar Playa,82,01-01-2009,50.54998603
4_00000000000000000064,Kadugodi,83,01-01-2009,65.35355295
4_00000000000000000065,Hagadur,84,01-01-2009,82.52600632
4_00000000000000000066,Dodda Nekkundi,85,01-01-2009,56.41715513
4_00000000000000000067,HSR Layout,174,01-01-2009,58.47835673
4_00000000000000000068,Bommanahalli,175,01-01-2009,44.70763584
4_00000000000000000069,Jaraganahalli,186,01-01-2009,59.60403628
4_0000000000000000006a,Puttenahalli,187,01-01-2009,46.0717981
4_0000000000000000006b,Bilekhalli,188,01-01-2009,50.63158347
4_0000000000000000006c,Hongasandra,189,01-01-2009,42.16665538
4_0000000000000000006d,Mangammanapalya,190,01-01-2009,50.07828324
4_0000000000000000006e,Singasandra,191,01-01-2009,55.98913442
4_0000000000000000006f,Arakere,193,01-01-2009,52.11592356
4_00000000000000000070,Uttarahalli,184,01-01-2009,56.62694389
4_00000000000000000072,Begur,192,01-01-2009,59.37859989
4_00000000000000000073,Gottigere,194,01-01-2009,60.28644079
4_00000000000000000074,Konankunte,195,01-01-2009,49.24088251
4_00000000000000000075,Anjanapura,196,01-01-2009,54.65273788
4_00000000000000000076,Kempegowda Ward,1,01-01-2009,62.249553
4_00000000000000000077,K R Puram,52,01-01-2009,60.93565479
4_00000000000000000078,Jnana Bharathi ward,129,01-01-2009,55.68233209
